"Reference1","Reference2","C087","C088","I173","I174","I175","I176","dilution"
10.695,10.677,4.248,4.834,10.761,10.724,5.21,8.546,0.110335479386351
11.433,10.966,3.301,3.416,10.697,10.701,3.349,6.315,0.0275838698465877
11.125,10.856,2.748,2.871,11.125,9.867,2.71,4.846,0.00689596746164692
9.633,10.587,2.369,2.5,10.172,7.534,2.463,3.333,0.00172399186541173
9.093,8.22,2.526,2.605,8.884,5.471,2.489,2.727,0.000430997966352932
6.339,6.926,2.332,2.534,7.167,4.213,2.338,2.644,0.000107749491588233
5.308,5.099,2.511,2.304,5.14,3.221,2.347,2.31,2.69373728970583e-05
3.251,3.548,2.144,2.536,3.322,2.599,2.24,2.207,6.73434322426457e-06
2.741,3.037,2.188,2.404,2.752,2.291,2.376,2.363,1.68358580606614e-06
2.501,2.57,2.245,2.201,2.603,2.442,2.723,2.427,4.20896451516536e-07
2.448,2.501,2.48,2.471,2.414,2.177,2.505,2.499,1.05224112879134e-07
2.314,2.202,2.273,2.395,2.322,2.431,2.175,2.261,2.63060282197835e-08
