"Reference1","Reference2","C105","C106","I209","I210","I211","I212","dilution"
9.547,9.978,4.569,4.151,8.467,8.781,9.459,9.799,0.140506959067838
9.434,9.255,3.189,3.23,6.265,7.372,8.587,9.519,0.0351267397669594
9.305,9.275,2.402,2.542,5.35,6.8,8.085,8.879,0.00878168494173985
8.924,8.781,2.034,2.316,3.907,4.526,7.109,8.163,0.00219542123543496
7.867,7.674,2.057,2.107,2.887,3.067,5.309,8.119,0.000548855308858741
6.097,6.232,1.968,1.993,2.496,2.586,3.767,6.522,0.000137213827214685
4.521,4.186,2.021,1.852,2.053,2.371,2.666,4.758,3.43034568036713e-05
3.305,2.933,1.951,2.054,1.947,1.973,2.295,3.355,8.57586420091782e-06
2.646,2.333,2.192,2.129,2.16,2.244,2.093,2.548,2.14396605022946e-06
2.368,2.217,1.885,1.982,2.243,1.994,2.148,2.168,5.35991512557364e-07
2.121,2.126,1.954,2.069,1.965,2.191,2.005,2.082,1.33997878139341e-07
1.944,2.235,2.019,1.999,2.009,1.889,2.168,2.134,3.34994695348353e-08
