"Reference1","Reference2","C333","C334","I665","I666","I667","I668","dilution"
12.488,12.175,3.713,3.557,12.248,3.661,3.593,12.537,0.0780893271051366
12.111,12.559,2.082,2.308,12.794,2.25,1.911,12.23,0.0195223317762841
11.134,12.217,1.694,1.501,11.256,1.593,1.557,11.827,0.00488058294407104
9.651,11.086,1.364,1.301,11.019,1.373,1.294,11.177,0.00122014573601776
9.335,8.958,1.1,1.305,8.376,1.229,1.25,8.801,0.00030503643400444
6.19,6.442,1.254,1.091,5.725,1.134,1.193,6.402,7.625910850111e-05
3.861,4.303,1.139,1.167,3.503,1.096,1.219,4.089,1.90647771252775e-05
2.347,2.42,1.102,1.209,2.252,1.176,1.171,2.605,4.76619428131937e-06
1.652,1.783,1.217,1.126,1.551,1.16,1.17,1.746,1.19154857032984e-06
1.271,1.397,1.095,1.09,1.248,1.123,1.177,1.355,2.97887142582461e-07
1.252,1.239,1.187,1.172,1.244,1.226,1.227,1.196,7.44717856456152e-08
1.224,1.194,1.184,1.222,1.183,1.256,1.134,1.147,1.86179464114038e-08
