"Reference1","Reference2","C217","C218","I433","I434","I435","I436","dilution"
9.652,9.591,4.043,3.727,9.241,9.47,6.886,6.808,0.0974684994693594
9.664,9.345,2.979,2.806,9.698,9.484,5.11,5.397,0.0243671248673398
9.298,9.281,2.42,2.316,9.023,9.424,3.621,4.016,0.00609178121683496
9.61,8.355,2.196,2.2,8.174,8.764,2.974,2.59,0.00152294530420874
7.6,7.188,1.951,2.003,6.808,7.885,2.223,2.274,0.000380736326052185
6.139,5.232,2.356,2.077,5.365,6.17,2.187,2.161,9.51840815130463e-05
4.137,3.929,1.933,2.216,3.779,3.862,2.011,2.122,2.37960203782616e-05
3.058,3.086,1.898,2.063,2.938,3.084,2.056,2.031,5.94900509456539e-06
2.438,2.495,1.867,2.136,2.44,2.369,2.075,1.972,1.48725127364135e-06
2.345,2.132,2.088,2.017,2.039,2.236,2.015,1.99,3.71812818410337e-07
1.963,2.126,2.086,1.971,2.012,2.221,2.029,1.939,9.29532046025843e-08
2.007,2.051,2.117,1.994,2.021,2.124,2.274,2.171,2.32383011506461e-08
