"Reference1","Reference2","C303","C304","I605","I606","I607","I608","dilution"
12.279,11.505,5.366,5.372,11.778,6.048,11.826,12.049,0.113551338964592
12.08,12.388,3.735,3.201,11.642,4.093,12.492,11.556,0.028387834741148
11.603,10.968,2.785,2.699,11.781,3.081,11.192,11.213,0.007096958685287
10.854,10.994,2.61,2.486,10.123,2.647,10.767,10.752,0.00177423967132175
10.221,9.741,2.606,2.641,7.869,2.586,9.571,9.788,0.000443559917830437
7.544,7.131,2.494,2.253,6.605,2.469,7.693,7.029,0.000110889979457609
5.265,5.409,2.454,2.582,4.403,2.363,5.15,4.641,2.77224948644023e-05
3.619,3.773,2.303,2.317,3.544,2.477,3.677,3.589,6.93062371610058e-06
2.837,2.998,2.506,2.257,2.803,2.555,2.955,2.859,1.73265592902515e-06
2.623,2.724,2.572,2.189,2.611,2.561,2.537,2.527,4.33163982256286e-07
2.32,2.592,2.673,2.362,2.792,2.328,2.691,2.574,1.08290995564072e-07
2.511,2.643,2.586,2.214,2.498,2.503,2.475,2.547,2.70727488910179e-08
