"Reference1","Reference2","C115","C116","I229","I230","I231","I232","dilution"
8.521,8.989,3.794,3.738,5.942,4.011,8.992,5.568,0.137290027193316
8.773,8.188,2.835,2.83,4.268,2.999,8.565,3.9,0.0343225067983289
7.943,7.995,2.304,2.306,3.175,2.179,8.295,2.517,0.00858062669958223
7.776,8.057,2.361,2.334,2.354,2.209,7.547,2.39,0.00214515667489556
7.058,6.907,2.142,1.863,2.328,1.931,7.096,2.199,0.00053628916872389
5.591,5.947,2.201,2.19,2.092,1.938,4.955,2.106,0.000134072292180972
4.381,4.129,1.992,1.957,2.127,2.178,4.166,2.076,3.35180730452431e-05
3.084,3.125,2.027,2.093,2.021,1.839,3.098,1.993,8.37951826131077e-06
2.447,2.467,1.981,2.044,2.027,2.214,2.379,1.969,2.09487956532769e-06
2.311,2.178,2.031,2.131,2.09,2.056,2.02,2.113,5.23719891331923e-07
2.026,2.027,2.099,2.188,2.02,1.961,2.161,2.11,1.30929972832981e-07
1.995,2.018,2.134,2.04,1.97,2.132,2.299,2.015,3.27324932082452e-08
