"Reference1","Reference2","C223","C224","I445","I446","I447","I448","dilution"
7.209,8.118,3.164,2.959,7.384,5.777,7.822,7.275,0.117700104490196
7.574,7.888,2.173,2.082,6.926,4.037,8.205,6.897,0.029425026122549
7.186,6.946,1.522,1.627,6.666,2.879,6.969,5.938,0.00735625653063725
6.751,7.175,1.467,1.402,6.282,1.952,7.151,5.353,0.00183906413265931
6.139,6.173,1.25,1.207,5.204,1.561,5.789,4.153,0.000459766033164828
4.614,4.589,1.393,1.3,3.777,1.44,4.873,2.697,0.000114941508291207
3.147,3.329,1.248,1.361,2.465,1.399,3.189,1.868,2.87353770728018e-05
2.179,2.242,1.333,1.261,1.748,1.291,2.073,1.404,7.18384426820044e-06
1.782,1.615,1.23,1.278,1.493,1.354,1.585,1.427,1.79596106705011e-06
1.405,1.344,1.3,1.36,1.437,1.305,1.46,1.282,4.48990266762527e-07
1.24,1.33,1.271,1.244,1.363,1.284,1.297,1.187,1.12247566690632e-07
1.312,1.307,1.302,1.276,1.333,1.16,1.148,1.259,2.8061891672658e-08
