"Reference1","Reference2","C299","C300","I597","I598","I599","I600","dilution"
13.453,13.96,4.944,5.21,12.543,10.31,13.335,12.395,0.133504074399685
13.379,13.43,3.215,3.08,11.181,9.338,13.766,12.078,0.0333760185999213
12.422,13.149,2.252,2.075,9.13,5.444,12.872,10.059,0.00834400464998032
11.642,12.053,1.86,1.779,6.061,3.236,12.31,7.398,0.00208600116249508
10.485,9.967,1.577,1.602,3.702,2.22,11.012,4.802,0.00052150029062377
8.559,8.33,1.41,1.494,2.395,1.717,8.478,3.175,0.000130375072655943
5.118,4.894,1.553,1.5,2.095,1.444,5.142,1.985,3.25937681639856e-05
3.018,3.273,1.561,1.554,1.667,1.513,3.699,1.888,8.14844204099641e-06
2.42,2.308,1.586,1.469,1.539,1.476,2.682,1.533,2.0371105102491e-06
1.761,1.789,1.358,1.565,1.41,1.556,1.801,1.515,5.09277627562275e-07
1.666,1.49,1.624,1.52,1.413,1.509,1.572,1.527,1.27319406890569e-07
1.592,1.674,1.439,1.574,1.375,1.508,1.409,1.571,3.18298517226422e-08
