"Reference1","Reference2","C111","C112","I221","I222","I223","I224","dilution"
8.704,8.992,3.794,4.062,7.217,8.011,8.699,8.032,0.166674195515998
8.492,8.218,2.542,2.772,6.395,6.672,8.624,7.14,0.0416685488789996
8.232,8.45,1.948,2.052,4.397,5.307,8.082,5.848,0.0104171372197499
7.735,7.985,1.635,1.894,3.229,3.694,7.168,4.371,0.00260428430493748
6.962,7.192,1.536,1.581,2.272,2.553,5.776,2.874,0.000651071076234369
6.027,5.792,1.539,1.575,1.961,1.927,4.658,2.223,0.000162767769058592
4.091,4.308,1.456,1.56,1.635,1.615,3.225,1.754,4.06919422646481e-05
2.851,2.758,1.559,1.444,1.519,1.598,2.342,1.613,1.0172985566162e-05
2.031,2.061,1.603,1.497,1.627,1.323,1.901,1.429,2.5432463915405e-06
1.722,1.788,1.503,1.485,1.458,1.468,1.701,1.505,6.35811597885126e-07
1.625,1.512,1.531,1.436,1.545,1.651,1.621,1.497,1.58952899471281e-07
1.609,1.594,1.414,1.498,1.391,1.317,1.455,1.462,3.97382248678204e-08
