"Reference1","Reference2","C161","C162","I321","I322","I323","I324","dilution"
11.723,10.943,5.39,5.577,11.425,11.237,10.115,11.14,0.157130863323027
11.097,11.03,3.65,3.95,9.987,10.995,7.768,10.758,0.0392827158307566
10.905,10.817,3.118,3.186,10.764,10.844,6.515,10.271,0.00982067895768916
10.392,9.991,2.925,2.666,9.531,10.679,4.899,10.497,0.00245516973942229
8.868,9.669,2.646,2.459,7.814,9.001,3.808,9.001,0.000613792434855573
7.311,7.579,2.693,2.506,5.562,6.93,2.997,6.981,0.000153448108713893
5.661,5.439,2.669,2.603,4.328,5.539,2.723,5.787,3.83620271784733e-05
4.258,3.899,2.547,2.467,3.194,4.025,2.772,4.246,9.59050679461832e-06
3.225,3.039,2.75,2.543,2.637,3.298,2.724,2.958,2.39762669865458e-06
2.887,2.776,2.519,2.654,2.802,3.048,2.497,3.003,5.99406674663645e-07
2.503,2.649,2.573,2.662,2.844,2.596,2.339,2.643,1.49851668665911e-07
2.629,2.525,2.627,2.402,2.849,2.611,2.435,2.665,3.74629171664778e-08
