"Reference1","Reference2","C021","C022","I041","I042","I043","I044","dilution"
11.292,10.989,4.452,3.914,11.567,8.252,11.314,11.919,0.108042605350534
11.08,10.687,2.988,2.698,10.399,6.309,11.571,10.705,0.0270106513376336
10.877,10.65,2.397,2.488,8.891,4.251,10.907,9.104,0.0067526628344084
9.816,10.477,2.032,2.156,7.019,3.166,11.605,8.37,0.0016881657086021
8.824,8.968,1.878,2.022,3.936,2.512,9.976,6.086,0.000422041427150525
6.282,6.671,1.945,1.905,3.04,2.078,7.236,4.076,0.000105510356787631
4.08,4.357,2.107,2.083,2.519,2.168,5.853,3.008,2.63775891969078e-05
2.941,2.972,2.083,2.03,2.056,2.105,3.684,2.356,6.59439729922695e-06
2.341,2.511,1.95,1.832,1.865,1.9,2.68,2.058,1.64859932480674e-06
1.921,2.047,1.991,1.997,1.918,1.932,2.273,1.962,4.12149831201685e-07
1.999,1.989,1.869,1.859,1.982,1.874,2.171,1.825,1.03037457800421e-07
2.051,1.949,1.9,1.911,1.931,1.878,1.912,1.81,2.57593644501053e-08
