"Reference1","Reference2","C043","C044","I085","I086","I087","I088","dilution"
9.366,8.816,3.753,3.527,3.851,6.433,4.247,9.354,0.0949668702008436
9.432,8.83,2.541,2.343,2.483,4.39,2.836,9.35,0.0237417175502109
9.052,8.778,1.989,1.912,1.962,2.828,2.112,8.546,0.00593542938755272
8.48,7.919,1.681,1.534,1.761,2.233,1.686,7.764,0.00148385734688818
7.704,6.988,1.758,1.572,1.595,1.668,1.69,7.135,0.000370964336722045
4.879,5.209,1.675,1.743,1.681,1.78,1.628,5.486,9.27410841805113e-05
3.715,3.607,1.71,1.726,1.605,1.539,1.719,3.398,2.31852710451278e-05
2.675,2.734,1.465,1.676,1.471,1.667,1.592,2.766,5.79631776128196e-06
1.962,1.919,1.678,1.694,1.662,1.688,1.542,2.101,1.44907944032049e-06
1.847,1.763,1.644,1.466,1.505,1.672,1.764,1.732,3.62269860080122e-07
1.823,1.65,1.63,1.721,1.666,1.583,1.659,1.733,9.05674650200306e-08
1.6,1.815,1.604,1.664,1.679,1.613,1.78,1.655,2.26418662550076e-08
