"Reference1","Reference2","C343","C344","I685","I686","I687","I688","dilution"
8.824,8.58,3.362,3.213,7.806,8.48,8.772,8.551,0.0807901597129137
8.673,8.713,2.241,2.315,7.724,8.088,8.551,8.29,0.0201975399282284
8.416,8.063,1.932,2.064,5.616,7.345,8.081,8.121,0.0050493849820571
7.443,7.736,1.892,1.864,4.65,5.756,7.66,7.735,0.00126234624551428
6.554,6.894,1.895,1.72,3.031,4.507,6.83,5.626,0.000315586561378569
5.211,5.067,1.619,1.689,2.133,3.079,5.585,4.634,7.88966403446423e-05
3.406,3.624,1.806,1.697,2.048,2.471,3.655,2.781,1.97241600861606e-05
2.435,2.288,1.622,1.651,1.766,1.91,2.661,2.486,4.93104002154014e-06
2.066,1.871,1.764,1.593,1.69,1.742,2.126,1.882,1.23276000538504e-06
1.924,1.915,1.603,1.76,1.665,1.792,1.836,1.83,3.08190001346259e-07
1.654,1.729,1.583,1.615,1.629,1.525,1.681,1.818,7.70475003365647e-08
1.782,1.675,1.771,1.821,1.838,1.768,1.683,1.688,1.92618750841412e-08
