"Reference1","Reference2","C259","C260","I517","I518","I519","I520","dilution"
7.346,7.056,3.12,3.16,3.057,7.167,7.192,6.929,0.137015261488874
7.248,7.335,2.301,2.241,2.326,6.657,7.536,6.232,0.0342538153722186
7.039,6.953,1.657,2.009,1.772,7.164,7.236,5.012,0.00856345384305465
6.624,6.422,1.634,1.827,1.762,6.743,6.837,3.65,0.00214086346076366
6.35,5.67,1.703,1.769,1.557,5.41,5.757,2.683,0.000535215865190916
4.573,4.41,1.593,1.527,1.525,3.819,4.864,2.099,0.000133803966297729
3.185,3.116,1.506,1.586,1.383,2.726,3.36,1.748,3.34509915744322e-05
2.327,2.39,1.651,1.604,1.445,2.023,2.541,1.671,8.36274789360806e-06
1.905,1.971,1.515,1.545,1.761,1.64,1.799,1.53,2.09068697340201e-06
1.61,1.583,1.582,1.648,1.547,1.745,1.677,1.66,5.22671743350504e-07
1.638,1.702,1.577,1.605,1.527,1.563,1.624,1.404,1.30667935837626e-07
1.524,1.488,1.638,1.577,1.45,1.522,1.416,1.591,3.26669839594065e-08
