"Reference1","Reference2","C163","C164","I325","I326","I327","I328","dilution"
9.181,8.978,3.754,3.455,9.165,9.536,4.705,3.838,0.111009981566582
9.608,9.119,2.495,2.857,9.552,9.303,3.157,2.602,0.0277524953916455
9.013,8.42,1.931,2.059,8.777,9.036,2.486,2.084,0.00693812384791137
8.699,8.302,1.864,1.89,8.408,8.079,2.053,1.821,0.00173453096197784
7.41,7.545,1.724,1.684,7.009,7.084,1.646,1.722,0.000433632740494461
6.115,5.455,1.755,1.571,5.06,5.277,1.875,1.724,0.000108408185123615
4.156,3.587,1.618,1.649,3.273,3.672,1.658,1.626,2.71020462809038e-05
2.655,2.633,1.794,1.65,2.53,2.581,1.655,1.607,6.77551157022595e-06
1.959,1.926,1.64,1.546,1.904,2.03,1.655,1.727,1.69387789255649e-06
1.834,1.866,1.643,1.711,1.838,1.753,1.604,1.683,4.23469473139122e-07
1.719,1.733,1.702,1.678,1.719,1.804,1.829,1.775,1.0586736828478e-07
1.8,1.597,1.608,1.6,1.629,1.725,1.536,1.904,2.64668420711951e-08
