"Reference1","Reference2","C317","C318","I633","I634","I635","I636","dilution"
11.757,11.21,5.465,5.444,7.492,11.488,11.994,7.056,0.147897661454397
11.473,11.922,4.015,3.499,4.77,11.922,9.982,4.433,0.0369744153635991
11.705,11.276,2.91,2.97,3.582,11.401,7.897,3.814,0.00924360384089979
10.452,10.601,2.555,2.694,2.859,11.556,5.508,2.753,0.00231090096022495
9.783,9.285,2.509,2.455,2.701,10.128,4.14,2.939,0.000577725240056237
6.979,7.781,2.531,2.233,2.471,8.143,2.921,2.284,0.000144431310014059
5.616,5.5,2.272,2.511,2.354,5.314,2.62,2.529,3.61078275035148e-05
3.508,4.079,2.565,2.318,2.374,4.525,2.421,2.415,9.0269568758787e-06
3.036,2.836,2.332,2.359,2.438,3.121,2.395,2.418,2.25673921896967e-06
2.467,2.485,2.434,2.45,2.369,2.659,2.302,2.502,5.64184804742419e-07
2.564,2.446,2.487,2.241,2.295,2.463,2.686,2.702,1.41046201185605e-07
2.307,2.388,2.322,2.294,2.505,2.676,2.339,2.541,3.52615502964012e-08
