"Reference1","Reference2","C139","C140","I277","I278","I279","I280","dilution"
9.879,9.738,4.121,3.943,10.288,5.588,10.319,9,0.112933571500307
9.623,9.689,2.834,2.557,9.331,3.588,10.001,9.819,0.0282333928750767
9.168,9.513,2.009,2.059,9.777,2.507,9.372,9.272,0.00705834821876917
8.904,8.473,1.598,1.773,9.25,2.097,8.625,9.062,0.00176458705469229
7.112,7.866,1.682,1.66,8.094,1.815,8.267,8.063,0.000441146763673073
5.632,5.839,1.764,1.59,5.856,1.63,5.502,5.838,0.000110286690918268
4.009,4.001,1.742,1.609,4.097,1.741,3.814,3.91,2.75716727295671e-05
2.824,2.839,1.614,1.567,3.009,1.625,2.631,2.881,6.89291818239176e-06
2.109,2.169,1.618,1.666,2.268,1.607,2.176,1.931,1.72322954559794e-06
1.768,1.792,1.477,1.771,1.957,1.722,1.801,1.856,4.30807386399485e-07
1.738,1.825,1.639,1.652,1.622,1.577,1.787,1.79,1.07701846599871e-07
1.738,1.658,1.66,1.566,1.661,1.68,1.71,1.709,2.69254616499678e-08
