"Reference1","Reference2","C203","C204","I405","I406","I407","I408","dilution"
5.867,6.129,3.376,3.053,4.789,5.796,5.5,5.99,0.163634565457061
5.788,5.843,2.519,2.47,3.974,5.928,5.727,5.821,0.0409086413642654
5.559,5.813,2.153,1.901,3.239,5.164,5.153,5.576,0.0102271603410663
5.581,5.553,1.855,1.892,2.349,4.842,4.89,5.262,0.00255679008526658
5.117,5.03,1.859,1.774,2.163,4.231,4.037,4.629,0.000639197521316646
3.837,4.048,1.943,1.673,1.954,3.399,2.886,4.113,0.000159799380329162
3.37,3.328,1.893,1.949,1.914,2.806,2.382,3.09,3.99498450822904e-05
2.461,2.58,1.784,1.92,1.767,2.016,2.034,2.462,9.9874612705726e-06
2.17,2.007,1.933,1.95,1.78,2.044,1.877,2.103,2.49686531764315e-06
1.761,2.133,1.904,1.805,1.85,2.003,1.769,1.796,6.24216329410787e-07
1.874,1.97,1.84,1.796,2.007,1.843,2.058,1.945,1.56054082352697e-07
1.94,1.815,1.731,1.814,1.823,1.813,2.021,1.857,3.90135205881742e-08
