"Reference1","Reference2","C249","C250","I497","I498","I499","I500","dilution"
10.579,10.285,4.641,4.477,4.499,9.249,10.273,9.45,0.118245164453054
10.149,10.356,3.301,3.051,3.151,10.2,9.465,9.316,0.0295612911132636
10.305,10.323,2.52,2.533,2.568,10.191,8.994,10.062,0.0073903227783159
9.616,9.306,2.407,2.468,2.355,8.565,7.912,9.546,0.00184758069457898
8.184,8.777,2.329,2.108,2.41,7.269,6.232,7.994,0.000461895173644744
6.338,6.189,2.481,2.628,2.432,4.92,4.288,6.751,0.000115473793411186
4.968,4.823,2.242,2.323,2.331,3.804,3.208,4.933,2.88684483527965e-05
3.251,3.357,2.182,2.318,2.209,2.96,2.635,3.107,7.21711208819912e-06
2.543,2.578,2.227,2.356,2.148,2.396,2.431,2.799,1.80427802204978e-06
2.564,2.631,2.194,2.274,2.219,2.238,2.358,2.297,4.51069505512445e-07
2.428,2.302,2.317,2.243,2.385,2.178,2.079,2.152,1.12767376378111e-07
2.4,2.145,2.246,2.436,2.155,2.406,2.369,2.302,2.81918440945278e-08
