"Reference1","Reference2","C233","C234","I465","I466","I467","I468","dilution"
11.022,10.522,4.152,3.875,9.229,11.433,10.165,10.989,0.108771112262045
10.862,10.9,2.777,2.757,7.478,10.701,9.241,10.68,0.0271927780655114
10.972,10.516,2.364,2.041,4.796,10.969,7.847,10.36,0.00679819451637784
10.401,9.817,1.992,1.989,3.68,9.527,5.38,10.018,0.00169954862909446
8.503,7.815,1.826,1.86,2.416,8.799,3.939,8.678,0.000424887157273615
6.918,6.166,1.687,1.824,1.947,6.484,2.591,7.068,0.000106221789318404
4.546,4.099,1.718,1.708,2.037,4.608,2.248,4.543,2.6555447329601e-05
3.09,3.1,1.942,1.71,1.892,2.748,1.901,3.091,6.63886183240024e-06
2.307,2.351,1.865,1.69,1.726,2.496,1.954,2.265,1.65971545810006e-06
1.958,2.071,1.761,1.865,1.964,1.788,1.891,2.091,4.14928864525015e-07
1.851,1.874,1.766,1.801,1.887,1.777,1.784,2.083,1.03732216131254e-07
1.785,1.819,1.694,1.738,1.956,1.804,1.938,1.86,2.59330540328134e-08
