"Reference1","Reference2","C033","C034","I065","I066","I067","I068","dilution"
8.261,7.868,3.779,3.859,6.361,7.646,8.512,6.915,0.158972821087875
8.091,7.799,2.718,2.854,4.637,7.168,7.913,5.333,0.0397432052719689
8.315,8.362,2.133,2.1,3.48,5.278,7.756,4.266,0.00993580131799222
7.893,7.78,2.014,1.899,2.495,3.895,7.084,2.925,0.00248395032949805
6.415,7.346,1.756,1.9,2.105,3.105,6.465,2.18,0.000620987582374513
5.145,5.576,1.794,1.912,1.843,2.236,5.51,1.941,0.000155246895593628
3.926,4.331,1.686,1.614,1.678,2.263,4.026,1.895,3.88117238984071e-05
3.025,2.88,1.637,1.821,1.854,1.967,2.979,1.687,9.70293097460177e-06
2.012,2.258,1.788,1.813,1.752,1.865,2.264,1.897,2.42573274365044e-06
1.904,1.933,1.986,1.668,1.724,1.896,1.935,1.967,6.06433185912611e-07
1.789,1.966,1.858,1.88,1.738,1.753,1.875,1.745,1.51608296478153e-07
1.969,1.806,1.67,1.687,1.93,1.799,1.858,1.807,3.79020741195382e-08
