"Reference1","Reference2","C147","C148","I293","I294","I295","I296","dilution"
10.218,9.432,3.487,3.57,7.844,10.155,8.598,10.404,0.101268197135658
9.585,9.851,2.641,2.611,5.566,9.816,7.694,9.623,0.0253170492839144
9.494,8.99,2.187,2.016,3.825,9.438,4.883,9.629,0.0063292623209786
8.95,8.997,1.888,1.889,2.79,9.307,3.421,9.024,0.00158231558024465
7.87,7.5,1.847,1.901,1.977,7.739,2.465,7.618,0.000395578895061162
5.123,5.599,1.784,1.567,1.846,5.714,2.256,5.607,9.88947237652906e-05
3.97,4.065,1.802,1.656,1.803,3.848,1.734,3.93,2.47236809413226e-05
2.887,2.849,1.648,1.877,1.749,2.626,1.87,2.544,6.18092023533066e-06
2.085,1.969,1.712,1.726,1.706,2.235,1.603,2.145,1.54523005883267e-06
1.86,1.909,1.76,1.724,1.566,1.938,1.504,1.894,3.86307514708166e-07
1.792,1.743,1.639,1.9,1.659,1.881,1.708,1.796,9.65768786770416e-08
1.691,1.705,1.653,1.684,1.612,1.755,1.537,1.635,2.41442196692604e-08
