"Reference1","Reference2","C313","C314","I625","I626","I627","I628","dilution"
8.981,9.428,3.772,4.196,9.697,9.326,9.532,8.875,0.108243324183963
9.535,8.783,3.463,3.325,9.425,9.229,8.616,9.104,0.0270608310459907
9.027,8.9,2.675,2.596,8.875,8.581,7.182,8.643,0.00676520776149767
8.843,7.856,2.448,2.723,8.377,7.996,5.502,8.721,0.00169130194037442
7.908,7.202,2.272,2.45,7.332,7.344,4.227,7.978,0.000422825485093604
5.923,6.09,2.351,2.331,6.168,5.627,3.23,6.738,0.000105706371273401
4.365,4.344,2.219,2.345,4.339,4.309,2.688,4.275,2.64265928183503e-05
3.004,3.146,2.426,2.359,3.512,3.124,2.508,3.622,6.60664820458757e-06
2.534,2.597,2.358,2.363,2.841,2.932,2.161,2.899,1.65166205114689e-06
2.266,2.296,2.368,2.241,2.56,2.569,2.579,2.468,4.12915512786723e-07
2.346,2.33,2.471,2.393,2.549,2.396,2.214,2.54,1.03228878196681e-07
2.269,2.211,2.193,2.249,2.379,2.475,2.085,2.539,2.58072195491702e-08
