"Reference1","Reference2","C095","C096","I189","I190","I191","I192","dilution"
7.902,8.52,4.119,3.994,3.77,7.825,7.837,7.18,0.104045584450102
8.003,8.176,3.15,3.123,3.082,6.423,7.907,8.131,0.0260113961125255
8,8.069,2.794,2.845,2.742,5.839,7.961,7.248,0.00650284902813138
7.709,7.839,2.742,2.428,2.881,4.107,6.78,6.563,0.00162571225703284
6.249,6.379,2.431,2.447,2.456,2.812,5.326,4.851,0.000406428064258211
5.375,5.26,2.485,2.543,2.555,2.935,3.995,3.679,0.000101607016064553
4.218,4.276,2.465,2.461,2.425,2.889,3.206,2.918,2.54017540161382e-05
3.397,3.295,2.611,2.46,2.546,2.278,2.875,2.854,6.35043850403455e-06
2.899,2.875,2.694,2.421,2.411,2.677,2.888,2.447,1.58760962600864e-06
2.659,2.457,2.507,2.686,2.653,2.531,2.515,2.386,3.96902406502159e-07
2.592,2.399,2.578,2.556,2.308,2.529,2.434,2.54,9.92256016255398e-08
2.445,2.52,2.592,2.452,2.662,2.344,2.539,2.516,2.4806400406385e-08
