"Reference1","Reference2","C323","C324","I645","I646","I647","I648","dilution"
10.861,11.376,5.136,5.086,11.048,7.855,5.515,10.415,0.157140734219162
10.947,10.873,4.147,3.845,10.673,5.791,3.903,11.139,0.0392851835547905
10.349,10.77,3.425,2.73,10.48,4.21,3.475,10.742,0.00982129588869761
9.622,9.791,3.09,2.994,9.795,3.479,2.882,10.048,0.0024553239721744
8.764,8.681,2.811,2.563,7.745,2.852,2.696,9.146,0.000613830993043601
7.521,7.507,2.835,2.629,6.508,2.717,2.684,7.192,0.0001534577482609
5.449,5.406,2.732,2.707,4.25,2.442,3.025,5.453,3.8364437065225e-05
4.086,3.497,2.79,2.62,3.614,2.632,2.948,4.149,9.59110926630626e-06
2.987,3.076,2.658,2.714,3.168,2.745,2.937,3.059,2.39777731657657e-06
3.061,2.798,2.774,2.923,2.894,2.636,2.661,2.824,5.99444329144141e-07
2.773,2.509,2.773,2.825,2.902,2.848,2.712,2.661,1.49861082286035e-07
2.628,2.728,2.573,2.674,2.933,2.657,2.798,2.45,3.74652705715088e-08
