"Reference1","Reference2","C327","C328","I653","I654","I655","I656","dilution"
11.487,10.811,4.886,4.663,6.604,11.208,11.768,11.165,0.134325909548669
10.762,11.311,3.636,3.851,4.29,10.431,11.084,11.124,0.0335814773871672
11.093,10.895,3.127,3.03,3.524,9.618,10.658,10.004,0.0083953693467918
9.951,10.022,2.693,2.514,2.679,7.604,10.292,9.358,0.00209884233669795
8.952,8.979,2.716,2.667,2.564,5.81,9.559,7.811,0.000524710584174488
7.336,6.86,2.667,2.294,2.541,3.668,6.758,5.4,0.000131177646043622
5.641,5.532,2.327,2.388,2.493,3.074,4.688,3.917,3.27944115109055e-05
3.958,3.682,2.399,2.547,2.537,2.807,3.593,3.098,8.19860287772637e-06
3.124,3.247,2.386,2.189,2.428,2.634,3.19,3.009,2.04965071943159e-06
2.711,2.7,2.465,2.519,2.435,2.727,2.549,2.582,5.12412679857898e-07
2.314,2.56,2.385,2.403,2.288,2.389,2.565,2.392,1.28103169964475e-07
2.528,2.622,2.161,2.495,2.354,2.288,2.275,2.44,3.20257924911186e-08
