"Reference1","Reference2","C189","C190","I377","I378","I379","I380","dilution"
10.828,11.658,4.653,4.672,10.439,11.511,10.786,8.184,0.104889289574076
11.507,11.694,3.29,3.056,9.505,12.001,10.882,5.885,0.026222322393519
10.931,11.15,2.638,2.483,7.374,11.048,10.172,4.078,0.00655558059837975
10.954,9.934,2.515,2.384,5.054,10.812,8.744,2.74,0.00163889514959494
8.323,8.867,2.258,2.231,3.456,8.619,6.601,2.467,0.000409723787398734
7.12,6.552,2.221,2.347,2.983,6.78,4.447,2.524,0.000102430946849684
4.81,4.625,2.068,2.289,2.341,4.886,3.117,2.354,2.56077367124209e-05
3.455,3.361,2.32,2.132,2.479,3.264,2.534,2.212,6.40193417810522e-06
2.528,2.688,2.173,2.045,2.13,2.667,2.337,2.251,1.60048354452631e-06
2.332,2.196,2.225,2.215,2.292,2.182,2.479,2.269,4.00120886131576e-07
2.335,1.982,2.226,2.236,2.155,2.461,2.301,2.219,1.00030221532894e-07
2.146,2.232,2.207,2.492,2.126,2.218,2.207,2.169,2.50075553832235e-08
