"Reference1","Reference2","C005","C006","I009","I010","I011","I012","dilution"
10.611,11.439,4.72,4.577,10.357,7.159,6.294,10.919,0.130831127942596
11.013,10.777,3.283,3.168,9.605,4.487,4.947,9.86,0.0327077819856489
10.605,10.366,2.796,2.341,8.479,3.372,3.201,9.859,0.00817694549641223
10.301,10.074,2.424,2.381,6.865,2.605,2.561,8.87,0.00204423637410306
8.758,8.515,2.303,2.147,4.253,2.43,2.582,6.591,0.000511059093525765
7.103,6.924,1.929,2.293,3.34,2.227,2.158,4.495,0.000127764773381441
4.678,4.586,2.266,2.257,2.352,2.422,2.305,3.347,3.19411933453603e-05
3.27,3.532,2.198,2.051,2.28,2.069,2.15,2.4,7.98529833634007e-06
2.669,2.377,2.095,2.074,1.964,2.303,2.015,2.53,1.99632458408502e-06
2.328,2.405,2.085,2.011,2.349,2.112,2.096,2.301,4.99081146021255e-07
2.146,2.271,2.015,2.167,2.16,2.075,2.003,2.138,1.24770286505314e-07
2.201,2.316,2.058,2.193,2.051,2.143,1.947,2.029,3.11925716263284e-08
