"Reference1","Reference2","C225","C226","I449","I450","I451","I452","dilution"
9.292,9.731,4.964,4.39,9.601,9.16,9.443,9.673,0.115619808107213
8.952,9.961,3.661,3.854,9.408,9.902,9.66,9.744,0.0289049520268034
9.181,9.334,3.256,3.078,8.434,9.202,9.612,9.905,0.00722623800670084
8.848,8.955,3.187,2.999,7.844,9.544,8.871,9.378,0.00180655950167521
7.745,7.792,2.737,2.62,6.102,7.404,6.919,8.298,0.000451639875418802
6.519,6.525,2.973,2.706,5.218,6.1,6.377,6.753,0.000112909968854701
4.777,5.318,3.044,2.735,3.829,4.865,4.85,5.277,2.82274922136752e-05
3.663,3.616,2.862,2.642,3.034,3.567,3.511,4.071,7.05687305341879e-06
3.051,3.456,2.862,2.647,2.959,3.242,3.242,3.21,1.7642182633547e-06
2.762,3.05,2.709,2.572,3.153,2.876,3.005,3.026,4.41054565838674e-07
3.015,2.79,2.863,3.021,2.859,3.106,2.915,2.858,1.10263641459669e-07
2.906,2.9,2.663,2.802,2.998,2.715,2.701,2.901,2.75659103649171e-08
