"Reference1","Reference2","C137","C138","I273","I274","I275","I276","dilution"
7.403,7.762,3.902,3.643,7.2,7.729,7.34,7.631,0.120275784142155
7.599,7.32,2.673,2.872,6.522,8.12,7.719,7.438,0.0300689460355389
7.093,7.509,2.36,2.276,6.45,7.18,7.482,7.002,0.00751723650888471
7.099,6.91,2.18,2.171,4.708,7.025,7.078,6.97,0.00187930912722118
6.36,6.128,2.045,2.184,3.837,6.271,6.035,6.081,0.000469827281805295
4.993,4.575,2.155,1.954,3.073,4.655,4.957,5.119,0.000117456820451324
3.658,3.422,2.167,2.094,2.612,3.932,3.57,3.397,2.93642051128309e-05
2.598,2.699,2.239,2.06,2.189,2.773,2.879,2.824,7.34105127820773e-06
2.337,2.295,2.152,2.088,2.163,2.353,2.542,2.336,1.83526281955193e-06
2.234,2.29,2.082,2.165,2.061,2.129,2.223,2.089,4.58815704887983e-07
1.903,2.179,2.01,2.047,2.116,2.248,2.082,2.174,1.14703926221996e-07
1.928,2.09,2.139,2.079,2.201,1.859,2.197,2.126,2.86759815554989e-08
