"Reference1","Reference2","C263","C264","I525","I526","I527","I528","dilution"
15.25,14.589,5.584,6.273,15.637,15.264,14.887,13.144,0.121198175023672
15.724,14.434,4.115,3.973,14.951,14.061,14.75,12.669,0.030299543755918
13.962,14.161,3.352,3.419,14.208,14.454,13.869,9.557,0.0075748859389795
13.584,13.052,2.736,2.831,14.1,13.721,13.909,6.759,0.00189372148474487
11.629,11.756,2.79,2.741,12.255,11.42,11.772,4.578,0.000473430371186219
9.203,8.905,2.825,2.721,9.958,9.316,9.057,3.407,0.000118357592796555
6.231,5.81,2.876,2.619,7.634,6.447,7.485,2.962,2.95893981991387e-05
4.378,4.091,2.792,2.474,5.215,4.579,4.561,2.818,7.39734954978467e-06
3.409,3.388,2.587,2.601,3.76,3.576,3.499,2.73,1.84933738744617e-06
2.859,2.705,2.671,2.925,2.915,2.726,3.592,2.539,4.62334346861542e-07
2.786,2.901,2.669,2.518,2.942,2.937,2.797,2.664,1.15583586715385e-07
2.607,2.424,2.877,2.563,3.063,2.745,2.748,2.484,2.88958966788464e-08
