"Reference1","Reference2","C199","C200","I397","I398","I399","I400","dilution"
10.744,11.012,4.427,4.632,10.24,8.188,10.739,10.138,0.128414707138786
10.624,10.082,2.978,3.262,10.099,5.452,10.489,8.046,0.0321036767846966
9.947,10.567,2.516,2.327,9.18,3.489,11.072,6.977,0.00802591919617415
9.22,10.295,2.17,1.992,8.034,2.65,9.823,4.801,0.00200647979904354
9.34,8.914,2.057,1.814,5.639,2.143,8.472,3.295,0.000501619949760885
6.761,7.067,1.896,1.882,4.05,1.969,6.151,2.37,0.000125404987440221
4.776,4.395,1.893,1.886,2.576,1.91,4.517,1.964,3.13512468600553e-05
3.044,2.839,1.984,2.15,2.328,1.943,3.137,2.032,7.83781171501382e-06
2.458,2.357,1.873,1.859,1.977,1.894,2.286,1.946,1.95945292875346e-06
2.258,2.226,1.879,1.833,1.893,1.826,2.04,2.197,4.89863232188364e-07
1.956,2.066,1.773,1.688,1.823,1.799,1.958,1.841,1.22465808047091e-07
2.048,1.893,1.964,1.833,1.964,1.851,1.689,2.025,3.06164520117727e-08
