"Reference1","Reference2","C077","C078","I153","I154","I155","I156","dilution"
7.897,8.164,3.55,3.986,7.839,4.043,6.721,7.468,0.133313445859598
8.415,7.839,2.709,2.804,7.712,2.519,5.389,6.743,0.0333283614648996
7.641,7.802,2.147,2.16,5.818,2.144,3.661,5.066,0.0083320903662249
7.351,7.627,1.974,1.792,4.62,1.903,2.595,3.767,0.00208302259155623
6.753,6.581,1.803,1.785,2.942,1.738,2.269,2.5,0.000520755647889057
6.224,5.483,1.665,1.805,2.479,1.817,2.002,2.123,0.000130188911972264
4.031,3.664,1.676,1.851,2.121,1.764,1.928,2.034,3.2547227993066e-05
2.639,2.554,1.667,1.828,1.816,1.7,1.722,1.733,8.13680699826651e-06
2.296,1.976,1.711,1.69,1.82,1.58,1.821,1.817,2.03420174956663e-06
1.907,1.857,1.894,1.763,1.68,1.781,1.863,1.889,5.08550437391657e-07
1.738,1.909,1.784,1.759,1.719,1.78,1.747,1.633,1.27137609347914e-07
1.881,1.766,1.807,1.639,1.794,1.732,1.72,1.75,3.17844023369785e-08
