"Reference1","Reference2","C149","C150","I297","I298","I299","I300","dilution"
13.687,15.117,5.409,5.228,12.489,13.04,13.25,13.814,0.128319075591332
13.418,14.417,3.53,3.361,11.164,14.686,10.594,12.563,0.032079768897833
13.412,13.03,2.642,2.425,8.656,13.529,8.412,13.341,0.00801994222445826
12.528,12.607,2.18,2.1,5.205,12.311,6.014,12.006,0.00200498555611456
11.157,10.269,1.846,2.243,4.124,10.486,4.021,11.031,0.000501246389028641
8.734,7.931,2.013,2.071,2.874,7.701,2.84,8.127,0.00012531159725716
5.708,5.56,1.812,2.13,2.337,5.093,2.316,5.792,3.13278993142901e-05
4.005,3.829,1.994,2.114,1.902,3.357,2.265,3.597,7.83197482857252e-06
2.841,2.466,2.024,2.03,1.883,2.401,2.16,2.428,1.95799370714313e-06
2.299,2.04,1.769,1.921,1.895,2.132,2.003,2.401,4.89498426785782e-07
1.994,2.097,1.907,1.987,1.929,2.035,1.882,2.187,1.22374606696446e-07
2.117,2.025,1.957,1.946,2.127,2.021,1.805,2.135,3.05936516741114e-08
