"Reference1","Reference2","C101","C102","I201","I202","I203","I204","dilution"
6.944,7.494,2.961,2.79,2.74,6.283,7.461,3.089,0.120538677878832
7.008,6.987,2.024,2,1.754,6.43,6.859,2.128,0.0301346694697081
7.068,6.328,1.673,1.566,1.54,5.413,5.839,1.524,0.00753366736742702
6.309,5.922,1.462,1.369,1.484,4.091,5.004,1.486,0.00188341684185675
5.608,5.739,1.266,1.316,1.344,2.939,3.21,1.282,0.000470854210464189
4.818,4.417,1.288,1.207,1.424,1.845,2.394,1.34,0.000117713552616047
2.838,3.019,1.338,1.44,1.302,1.493,1.526,1.395,2.94283881540118e-05
2.048,1.925,1.316,1.323,1.375,1.39,1.42,1.451,7.35709703850295e-06
1.492,1.632,1.253,1.373,1.278,1.451,1.383,1.359,1.83927425962574e-06
1.436,1.372,1.309,1.363,1.285,1.32,1.255,1.249,4.59818564906434e-07
1.37,1.292,1.31,1.261,1.239,1.286,1.294,1.238,1.14954641226609e-07
1.257,1.291,1.353,1.316,1.276,1.248,1.307,1.309,2.87386603066521e-08
