"Reference1","Reference2","C221","C222","I441","I442","I443","I444","dilution"
6.946,6.579,2.651,2.453,2.852,6.321,5.541,5.391,0.0631080416583749
6.581,6.861,2.108,2.032,2.062,5.503,5.023,4.944,0.0157770104145937
6.418,6.379,1.809,1.832,1.973,4.746,3.775,3.442,0.00394425260364843
6.283,5.826,1.711,1.687,1.795,3.66,2.71,2.368,0.000986063150912107
4.676,5.11,1.775,1.801,1.615,2.364,2.193,1.982,0.000246515787728027
3.597,3.689,1.657,1.74,1.652,2.048,1.797,1.777,6.16289469320067e-05
2.668,2.623,1.796,1.702,1.759,1.944,1.727,1.646,1.54072367330017e-05
2.178,2.15,1.708,1.67,1.639,1.543,1.725,1.753,3.85180918325042e-06
1.911,1.802,1.746,1.462,1.689,1.699,1.471,1.647,9.62952295812605e-07
1.647,1.736,1.763,1.557,1.695,1.665,1.677,1.679,2.40738073953151e-07
1.681,1.715,1.676,1.708,1.744,1.669,1.779,1.683,6.01845184882878e-08
1.89,1.615,1.863,1.622,1.792,1.801,1.686,1.823,1.50461296220719e-08
