"Reference1","Reference2","C205","C206","I409","I410","I411","I412","dilution"
8.464,8.401,3.823,3.501,8.952,8.71,8.371,8.512,0.140297104985605
8.21,8.755,2.84,2.667,8.485,8.754,7.737,7.969,0.0350742762464013
8.327,8.428,2.209,2.185,7.368,8.945,7.791,7.794,0.00876856906160032
7.911,7.691,1.892,1.838,6.988,8.019,6.673,6.435,0.00219214226540008
7.053,6.877,1.731,1.794,5.503,7.301,5.324,5.226,0.00054803556635002
6.021,5.372,1.611,1.798,3.651,5.403,3.484,3.431,0.000137008891587505
3.763,3.819,1.714,1.668,2.596,3.985,2.604,2.515,3.42522228968762e-05
2.819,2.543,1.639,1.708,2.313,2.841,2.172,2.033,8.56305572421906e-06
2.082,2.058,1.637,1.668,1.828,2.213,1.796,1.726,2.14076393105476e-06
1.84,1.706,1.714,1.695,1.559,1.895,1.777,1.655,5.35190982763691e-07
1.769,1.551,1.744,1.695,1.682,1.681,1.777,1.655,1.33797745690923e-07
1.555,1.724,1.711,1.631,1.687,1.759,1.676,1.653,3.34494364227307e-08
