"Reference1","Reference2","C309","C310","I617","I618","I619","I620","dilution"
11.96,11.944,5.727,5.465,11.715,12.471,11.504,12.619,0.144419595698265
12.022,12.197,3.103,3.735,10.644,12.309,12.074,12.354,0.0361048989245663
11.802,11.193,2.69,2.606,9.228,11.868,11.901,12.495,0.00902622473114157
11.3,11.118,2.501,2.481,6.703,11.897,11.422,11.139,0.00225655618278539
9.797,9.953,2.024,2.239,4.414,10.097,9.661,9.104,0.000564139045696348
7.767,8.288,1.985,2.092,3.393,7.799,7.565,8.25,0.000141034761424087
5.135,5.263,2.054,2.097,2.73,5.351,5.205,5.302,3.52586903560218e-05
3.527,3.924,2.267,1.958,2.108,3.733,3.556,4.119,8.81467258900544e-06
2.844,2.587,2.031,2.048,2.249,2.69,2.667,2.777,2.20366814725136e-06
2.422,2.272,2.063,1.897,2.001,2.212,2.275,2.404,5.5091703681284e-07
2.149,2.23,2.187,2.033,1.855,2.119,1.962,2.212,1.3772925920321e-07
2.049,1.965,1.975,1.968,1.868,2.208,2.187,2.118,3.44323148008025e-08
