"Reference1","Reference2","C157","C158","I313","I314","I315","I316","dilution"
10.133,10.117,3.955,4.191,10.709,10.314,10.371,9.776,0.145444624720037
10.737,10.043,2.563,2.861,9.791,9.58,10.426,9.616,0.0363611561800093
10.089,10.239,1.994,2.064,10.195,9.407,9.889,8.06,0.00909028904500232
8.741,9.745,1.585,1.615,10.089,8.136,9.456,6.638,0.00227257226125058
8.681,7.954,1.492,1.505,8.247,6.349,7.971,4.388,0.000568143065312645
6.49,5.643,1.474,1.494,7.524,4.086,6.511,2.958,0.000142035766328161
4.038,4.304,1.487,1.457,5.304,2.355,4.508,1.948,3.55089415820403e-05
2.76,2.563,1.534,1.462,3.63,1.865,2.664,1.721,8.87723539551008e-06
1.97,1.938,1.445,1.329,2.391,1.567,1.99,1.562,2.21930884887752e-06
1.759,1.539,1.464,1.545,1.702,1.52,1.731,1.452,5.5482721221938e-07
1.632,1.515,1.506,1.41,1.62,1.353,1.585,1.538,1.38706803054845e-07
1.413,1.463,1.498,1.486,1.381,1.592,1.532,1.379,3.46767007637112e-08
