"Reference1","Reference2","C155","C156","I309","I310","I311","I312","dilution"
10.752,11.028,4.257,4.655,10.576,10.734,10.877,9.008,0.110683775171942
10.636,10.372,3.158,3.156,10.491,10.678,10.581,7.035,0.0276709437929855
10.578,10.419,2.641,2.53,10.605,10.855,9.999,5.072,0.00691773594824639
9.045,9.823,2.359,2.531,9.943,10.255,9.532,3.699,0.0017294339870616
8.91,8.362,2.292,2.193,8.863,9.171,8.571,2.945,0.000432358496765399
6.623,6.717,2.225,2.173,6.561,7.157,6.463,2.763,0.00010808962419135
4.739,5.045,2.188,2.204,5.223,4.577,4.628,2.33,2.70224060478374e-05
3.648,3.37,2.066,2.254,3.231,3.581,3.36,2.395,6.75560151195936e-06
2.72,2.761,2.31,2.141,2.689,2.888,2.486,2.286,1.68890037798984e-06
2.391,2.501,2.094,1.982,2.609,2.369,2.352,2.268,4.2222509449746e-07
2.373,2.185,2.094,2.264,2.617,2.235,2.328,2.201,1.05556273624365e-07
2.04,2.226,2.263,2.249,2.409,2.074,2.263,2.087,2.63890684060913e-08
