"Reference1","Reference2","C085","C086","I169","I170","I171","I172","dilution"
8.047,8.364,3.371,3.487,7.751,7.485,6.45,3.711,0.147415496806719
7.412,8.03,2.657,2.485,7.983,7.032,4.919,2.479,0.0368538742016798
7.473,7.243,2.042,2.148,7.38,6.633,3.323,2.177,0.00921346855041995
6.941,7.386,1.97,2.01,6.924,5.945,2.452,2.021,0.00230336713760499
6.389,6.659,1.836,1.783,5.956,4.841,2.071,1.752,0.000575841784401247
5.7,4.889,1.731,1.703,4.693,2.832,1.96,1.76,0.000143960446100312
3.703,3.623,1.84,1.912,3.512,2.255,1.878,1.62,3.59901115250779e-05
2.742,2.801,1.779,1.719,2.314,1.909,1.81,1.847,8.99752788126949e-06
2.149,2.037,1.661,1.806,2.113,1.716,1.836,1.753,2.24938197031737e-06
1.877,1.92,1.69,1.724,1.733,1.82,1.748,1.76,5.62345492579343e-07
1.849,1.607,1.733,1.664,1.817,1.79,1.604,1.765,1.40586373144836e-07
1.804,1.815,1.75,1.753,1.788,1.658,1.864,1.947,3.51465932862089e-08
