"Reference1","Reference2","C179","C180","I357","I358","I359","I360","dilution"
9.916,9.605,4.508,3.782,9.59,9.869,10.356,10.221,0.132226526469313
10.334,9.958,2.973,2.968,7.551,10.632,9.778,9.497,0.0330566316173282
9.887,9.877,2.189,2.077,7.003,10.954,10.009,8.163,0.00826415790433206
10.379,8.675,1.893,1.676,4.339,9.008,8.795,6.092,0.00206603947608302
8.409,7.673,1.691,1.741,2.879,8.008,7.599,3.929,0.000516509869020754
6.838,5.883,1.646,1.694,2.391,5.906,6.497,2.879,0.000129127467255188
4.672,3.523,1.532,1.586,1.878,4.18,3.749,2.095,3.22818668137971e-05
3.015,2.747,1.541,1.662,1.736,2.802,2.651,1.841,8.07046670344928e-06
2.186,2.116,1.524,1.526,1.667,2.328,2.087,1.707,2.01761667586232e-06
1.846,1.689,1.673,1.554,1.647,1.846,1.823,1.495,5.0440416896558e-07
1.687,1.716,1.574,1.685,1.656,1.74,1.738,1.617,1.26101042241395e-07
1.707,1.681,1.767,1.705,1.79,1.647,1.632,1.638,3.15252605603487e-08
