"Reference1","Reference2","C129","C130","I257","I258","I259","I260","dilution"
7.771,7.953,4.279,4.128,7.635,7.778,7.398,4.893,0.0849229490115997
7.697,8.078,3.323,3.497,7.232,7.259,7.792,3.682,0.0212307372528999
7.286,7.494,3.282,3.345,7.645,7.733,7.27,3.434,0.00530768431322498
7.084,6.972,3.049,3.058,6.927,6.563,6.924,2.813,0.00132692107830625
6.19,6.463,3.248,3.373,5.944,6.733,5.871,2.958,0.000331730269576562
4.963,5.178,2.754,2.739,5.31,5.283,4.937,2.812,8.29325673941404e-05
4.191,4.362,3.056,3.105,4.197,3.818,3.787,3.008,2.07331418485351e-05
3.852,3.51,2.998,3.253,3.415,3.33,3.637,2.799,5.18328546213377e-06
3.172,3.106,2.984,3.129,3.396,3.185,3.226,2.997,1.29582136553344e-06
3.131,2.883,3.266,3.151,3.012,3.245,3.169,2.937,3.23955341383361e-07
2.834,2.972,3.011,2.98,3.06,3.139,3.071,3.021,8.09888353458402e-08
2.732,2.973,2.903,3.031,3.018,3.1,3.061,3.094,2.02472088364601e-08
