"Reference1","Reference2","C051","C052","I101","I102","I103","I104","dilution"
11.312,11.886,4.564,4.116,11.857,4.922,5.791,11.765,0.0994550978643887
10.582,10.877,3.055,3.257,11.981,3.28,3.873,11.658,0.0248637744660972
9.816,11.559,2.399,2.3,10.776,2.387,2.766,11.434,0.0062159436165243
10.08,10.647,2.097,2.012,9.35,2.049,2.289,10.235,0.00155398590413107
8.808,9.403,2.059,1.681,7.595,1.701,2.198,9.532,0.000388496476032768
6.936,6.396,1.914,1.926,5.161,1.961,1.946,6.922,9.71241190081921e-05
4.42,4.375,1.792,1.777,3.255,1.864,2.03,5.309,2.4281029752048e-05
3.044,2.902,1.888,1.929,2.572,1.983,2.022,3.08,6.07025743801201e-06
2.372,2.373,1.869,1.804,2.182,1.828,1.913,2.662,1.517564359503e-06
2.048,2.042,1.792,1.852,2.011,1.817,1.678,2.239,3.7939108987575e-07
1.978,1.764,1.879,1.874,1.849,1.808,1.929,2.063,9.48477724689376e-08
1.91,2.126,1.999,1.844,1.856,1.996,1.855,1.832,2.37119431172344e-08
