"Reference1","Reference2","C057","C058","I113","I114","I115","I116","dilution"
6.657,6.31,2.772,2.715,6.2,4.129,4.858,4.344,0.068749189086295
6.381,6.15,2.11,2.091,5.565,2.986,4.377,3.361,0.0171872972715737
5.951,5.845,1.842,1.686,5.007,2.533,3.054,2.506,0.00429682431789344
5.734,5.321,1.555,1.682,3.723,1.9,2.172,1.992,0.00107420607947336
4.752,4.612,1.625,1.779,2.865,1.744,1.829,1.844,0.00026855151986834
3.585,4.017,1.721,1.779,2.177,1.855,1.981,1.778,6.7137879967085e-05
2.832,2.649,1.701,1.697,1.888,1.659,1.63,1.825,1.67844699917712e-05
2.248,2.25,1.717,1.707,1.852,1.726,1.656,1.731,4.19611749794281e-06
1.761,1.989,1.79,1.845,1.608,1.766,1.758,1.654,1.0490293744857e-06
1.816,1.622,1.893,1.607,1.687,1.693,1.797,1.758,2.62257343621426e-07
1.596,1.585,1.634,1.632,1.649,1.6,1.697,1.452,6.55643359053564e-08
1.682,1.725,1.742,1.786,1.725,1.764,1.749,1.71,1.63910839763391e-08
