"Reference1","Reference2","C267","C268","I533","I534","I535","I536","dilution"
10.579,11.066,3.992,3.86,9.395,9.927,9.628,10.661,0.137768735045314
10.299,10.416,2.192,2.381,8.682,10.483,7.844,10.844,0.0344421837613286
10.343,11.062,1.697,1.564,6.196,9.609,6.464,10.843,0.00861054594033215
9.589,9.643,1.29,1.322,4.428,8.336,3.479,9.624,0.00215263648508304
8.437,8.465,1.226,1.214,2.647,6.864,2.401,9.175,0.000538159121270759
6.226,6.778,0.968,1.185,1.604,4.207,1.716,6.859,0.00013453978031769
4.487,3.894,1.119,1.106,1.316,2.592,1.25,4.178,3.36349450794225e-05
2.448,2.38,1.059,1.094,1.099,1.694,1.258,2.527,8.40873626985561e-06
1.721,1.796,1.012,1.093,1.113,1.339,1.137,1.778,2.1021840674639e-06
1.258,1.4,1.133,1,1.044,1.142,1.048,1.316,5.25546016865976e-07
1.158,1.148,1.072,1.063,1.094,1.149,1.153,1.204,1.31386504216494e-07
1.117,1.067,1.042,1.067,1.082,1.143,1.039,1.067,3.28466260541235e-08
