"Reference1","Reference2","C143","C144","I285","I286","I287","I288","dilution"
13.076,12.679,4.437,4.732,4.876,12.269,10.413,13.004,0.152175105765675
12.586,13.66,3.027,2.868,2.993,11.653,8.457,12.566,0.0380437764414188
12.536,11.861,2.152,1.995,1.922,12.235,5.781,12.408,0.0095109441103547
11.521,11.937,1.728,1.622,1.67,11.547,3.55,11.905,0.00237773602758867
9.687,9.77,1.308,1.477,1.433,9.748,2.46,10.58,0.000594434006897168
7.755,8.756,1.348,1.328,1.374,7.54,1.76,8.187,0.000148608501724292
4.726,5.744,1.314,1.298,1.284,5.138,1.437,5.059,3.7152125431073e-05
3.148,3.521,1.418,1.226,1.413,3.168,1.328,3.625,9.28803135776826e-06
2.306,2.035,1.411,1.343,1.368,2.113,1.355,2.1,2.32200783944206e-06
1.624,1.715,1.4,1.357,1.381,1.738,1.342,1.682,5.80501959860516e-07
1.326,1.419,1.258,1.354,1.312,1.419,1.246,1.436,1.45125489965129e-07
1.324,1.386,1.331,1.361,1.341,1.339,1.403,1.32,3.62813724912823e-08
