"Reference1","Reference2","C027","C028","I053","I054","I055","I056","dilution"
6.868,6.812,2.73,2.965,7.127,6.782,6.583,3.021,0.0946912172652607
6.97,7.118,2.152,2.238,7.014,6.486,6.787,2.286,0.0236728043163152
6.539,6.596,1.769,1.812,6.896,5.803,6.488,1.794,0.0059182010790788
6.728,6.322,1.729,1.622,6.459,4.649,6.325,1.696,0.0014795502697697
5.7,5.129,1.88,1.628,5.559,3.398,5.388,1.779,0.000369887567442425
4.468,4.005,1.551,1.534,4.461,2.391,4.06,1.631,9.24718918606062e-05
3.041,2.983,1.651,1.639,3.039,1.951,2.685,1.638,2.31179729651515e-05
2.19,2.124,1.57,1.613,2.14,1.661,2.085,1.589,5.77949324128789e-06
1.779,1.694,1.551,1.649,1.899,1.588,1.8,1.636,1.44487331032197e-06
1.709,1.596,1.682,1.581,1.743,1.657,1.549,1.609,3.61218327580493e-07
1.62,1.643,1.579,1.707,1.643,1.717,1.57,1.614,9.03045818951232e-08
1.562,1.678,1.601,1.739,1.633,1.602,1.678,1.578,2.25761454737808e-08
