"Reference1","Reference2","C081","C082","I161","I162","I163","I164","dilution"
9.891,9.686,3.872,3.769,7.551,3.628,6.26,8.639,0.114242597053434
8.805,9.933,2.685,2.579,6.52,2.458,4.436,8.034,0.0285606492633586
8.915,9.376,2.29,2.23,4.141,2.24,3.097,5.667,0.00714016231583965
8.182,9.017,1.964,1.964,3.174,2.056,2.583,4.466,0.00178504057895991
8.12,7.344,1.97,2.008,2.342,1.849,2.176,2.826,0.000446260144739978
6.114,5.45,1.855,1.923,2.065,1.904,1.967,2.328,0.000111565036184995
3.839,3.899,1.66,1.724,1.85,1.89,1.784,1.959,2.78912590462486e-05
2.892,2.712,1.795,1.894,1.727,1.767,1.854,1.855,6.97281476156216e-06
2.161,2.355,1.678,1.844,1.769,1.784,1.826,1.712,1.74320369039054e-06
1.902,1.975,1.743,1.705,1.968,1.839,1.814,1.847,4.35800922597635e-07
1.871,1.898,1.855,1.926,1.782,1.857,1.939,1.93,1.08950230649409e-07
1.879,1.812,1.857,1.835,1.811,1.677,1.974,1.697,2.72375576623522e-08
