"Reference1","Reference2","C127","C128","I253","I254","I255","I256","dilution"
13.1,14.132,4.668,4.607,4.667,6.114,13.534,12.89,0.143555181977925
13.423,13.258,2.732,2.862,2.498,3.482,13.542,10.647,0.0358887954944811
12,12.135,1.833,1.798,1.675,2.255,14.535,8.436,0.00897219887362028
12.723,12.409,1.377,1.314,1.416,1.44,12.689,5.733,0.00224304971840507
10.761,10.704,1.176,1.178,1.28,1.256,9.857,3.085,0.000560762429601268
8.059,7.746,1.195,1.126,1.108,1.159,6.59,2.034,0.000140190607400317
4.867,5.196,1.103,1.15,1.159,1.228,4.929,1.359,3.50476518500792e-05
3.26,2.947,1.114,1.077,1.215,1.05,2.584,1.125,8.76191296251981e-06
1.961,1.853,1.174,1.129,1.111,1.019,1.805,1.163,2.19047824062995e-06
1.397,1.432,1.104,1.181,1.171,1.127,1.429,1.162,5.47619560157488e-07
1.277,1.283,1.042,1.134,1.041,1.124,1.192,1.109,1.36904890039372e-07
1.04,1.221,1.12,1.091,1.123,1.118,1.145,1.047,3.4226222509843e-08
