"Reference1","Reference2","C039","C040","I077","I078","I079","I080","dilution"
11.979,11.004,5.082,4.766,11.108,5.283,5.165,8.711,0.164926915702778
11.531,11.663,3.581,3.336,8.835,3.715,3.038,7.868,0.0412317289256945
11.174,10.722,2.419,2.264,6.886,2.612,2.555,4.645,0.0103079322314236
11.039,10.583,2.357,2.307,4.808,2.176,2.218,3.429,0.0025769830578559
9.681,9.664,1.957,2.113,3.31,2.037,1.864,2.541,0.000644245764463976
7.835,6.797,2.218,1.825,2.732,2.091,2.163,2.155,0.000161061441115994
5.572,5.256,2.08,1.96,2.205,2.044,2.003,1.976,4.02653602789985e-05
3.476,3.621,1.858,1.946,2.093,1.895,1.973,1.822,1.00663400697496e-05
2.941,2.561,1.939,2.012,2.212,1.843,2.029,1.75,2.51658501743741e-06
2.35,2.09,2.043,1.891,2.041,2.029,1.936,2.108,6.29146254359352e-07
1.909,2.086,1.794,2.073,1.864,1.88,2.065,1.941,1.57286563589838e-07
2.061,1.891,2.218,1.981,2.065,1.925,1.899,1.763,3.93216408974595e-08
