"Reference1","Reference2","C107","C108","I213","I214","I215","I216","dilution"
10.402,10.786,4.755,4.23,10.018,4.281,4.92,9.735,0.161934299647997
11.182,10.855,3.561,3.733,9.553,3.418,3.861,8.841,0.0404835749119992
9.897,9.919,2.475,2.592,8.15,2.689,2.77,7.636,0.0101208937279998
10.026,10.073,2.342,2.198,6.187,2.165,2.418,5.776,0.00253022343199995
9.192,9.33,2.252,2.067,4.572,2.263,2.099,3.468,0.000632555857999987
6.856,6.877,2.084,2.15,3.155,2.179,2.126,2.928,0.000158138964499997
4.889,4.799,2.214,1.948,2.636,1.983,2.082,2.199,3.95347411249992e-05
3.129,3.652,1.998,2.238,2.372,2.109,2.221,2.191,9.8836852812498e-06
2.629,2.644,2.094,1.94,2.114,2.162,2.191,2.285,2.47092132031245e-06
2.342,2.431,2.119,2.176,2.03,2.135,2.088,2.41,6.17730330078113e-07
2.171,2.126,2.075,2.014,2.161,2.247,2.268,2.061,1.54432582519528e-07
2.247,2.053,2.032,2.239,2.086,2.163,2.023,2.273,3.8608145629882e-08
