"Reference1","Reference2","C237","C238","I473","I474","I475","I476","dilution"
7.996,7.68,3.188,3.114,8.249,6.703,7.824,7.465,0.109374320652551
8.283,7.838,2.537,2.347,6.903,5.144,7.644,7.634,0.0273435801631378
7.228,7.813,1.918,1.949,6.996,4.248,6.875,7.969,0.00683589504078446
6.915,6.892,1.791,1.624,6.048,2.725,6.433,7.055,0.00170897376019612
6.354,5.935,1.823,1.705,4.866,2.144,4.632,6.7,0.000427243440049029
4.815,5.293,1.742,1.724,3.406,1.846,3.129,4.959,0.000106810860012257
3.49,3.434,1.833,1.876,2.487,1.846,2.492,3.42,2.67027150030643e-05
2.648,2.457,1.682,1.701,2.057,1.874,2.233,2.474,6.67567875076607e-06
2.021,2.059,1.835,1.641,1.811,1.619,2.065,2.145,1.66891968769152e-06
1.798,1.831,1.85,1.646,1.884,1.723,1.634,1.867,4.1722992192288e-07
1.914,1.76,1.706,1.862,1.679,1.685,1.708,1.757,1.0430748048072e-07
1.769,1.715,1.774,1.801,1.85,1.678,1.728,1.663,2.607687012018e-08
