FilePath	date_lab_plate	file_name	Date	Lab	Plate	background_mean	background_SD	threshold
/datos/home/paulinapg/tooling_up_systems_bio/ToolingSystemsBiology/RawData/Demengeot/2023-01-11 plate_1.csv	2023-01-11_Demengeot_plate_1	2023-01-11 plate_1	2023-01-11	Demengeot	plate_1	2.2415	0.09982413106487407	2.441148262129748
/datos/home/paulinapg/tooling_up_systems_bio/ToolingSystemsBiology/RawData/Demengeot/2023-01-11 plate_2.csv	2023-01-11_Demengeot_plate_2	2023-01-11 plate_2	2023-01-11	Demengeot	plate_2	2.5395	0.09470103333272399	2.728902066665448
/datos/home/paulinapg/tooling_up_systems_bio/ToolingSystemsBiology/RawData/Demengeot/2023-01-11 plate_3.csv	2023-01-11_Demengeot_plate_3	2023-01-11 plate_3	2023-01-11	Demengeot	plate_3	2.251125	0.12224499697621276	2.4956149939524255
/datos/home/paulinapg/tooling_up_systems_bio/ToolingSystemsBiology/RawData/Demengeot/2023-01-11 plate_4.csv	2023-01-11_Demengeot_plate_4	2023-01-11 plate_4	2023-01-11	Demengeot	plate_4	2.2775	0.05274195944136206	2.382983918882724
/datos/home/paulinapg/tooling_up_systems_bio/ToolingSystemsBiology/RawData/Demengeot/2023-01-11 plate_5.csv	2023-01-11_Demengeot_plate_5	2023-01-11 plate_5	2023-01-11	Demengeot	plate_5	1.349875	0.10961939022949231	1.5691137804589845
/datos/home/paulinapg/tooling_up_systems_bio/ToolingSystemsBiology/RawData/Demengeot/2023-01-17 plate_1.csv	2023-01-17_Demengeot_plate_1	2023-01-17 plate_1	2023-01-17	Demengeot	plate_1	2.174375	0.07474707352130926	2.3238691470426183
/datos/home/paulinapg/tooling_up_systems_bio/ToolingSystemsBiology/RawData/Demengeot/2023-01-17 plate_2.csv	2023-01-17_Demengeot_plate_2	2023-01-17 plate_2	2023-01-17	Demengeot	plate_2	1.808875	0.09534963854901901	1.999574277098038
/datos/home/paulinapg/tooling_up_systems_bio/ToolingSystemsBiology/RawData/Demengeot/2023-01-17 plate_3.csv	2023-01-17_Demengeot_plate_3	2023-01-17 plate_3	2023-01-17	Demengeot	plate_3	2.51525	0.13858751747542053	2.792425034950841
/datos/home/paulinapg/tooling_up_systems_bio/ToolingSystemsBiology/RawData/Demengeot/2023-01-17 plate_4.csv	2023-01-17_Demengeot_plate_4	2023-01-17 plate_4	2023-01-17	Demengeot	plate_4	1.75275	0.0745879155283022	1.9019258310566045
/datos/home/paulinapg/tooling_up_systems_bio/ToolingSystemsBiology/RawData/Demengeot/2023-01-17 plate_5.csv	2023-01-17_Demengeot_plate_5	2023-01-17 plate_5	2023-01-17	Demengeot	plate_5	2.316	0.1214260503939978	2.5588521007879956
/datos/home/paulinapg/tooling_up_systems_bio/ToolingSystemsBiology/RawData/Demengeot/2023-01-17 plate_6.csv	2023-01-17_Demengeot_plate_6	2023-01-17 plate_6	2023-01-17	Demengeot	plate_6	2.3725	0.06501428414477191	2.5025285682895437
/datos/home/paulinapg/tooling_up_systems_bio/ToolingSystemsBiology/RawData/Demengeot/2023-01-24 plate_1.csv	2023-01-24_Demengeot_plate_1	2023-01-24 plate_1	2023-01-24	Demengeot	plate_1	1.84025	0.06581738806294708	1.9718847761258942
/datos/home/paulinapg/tooling_up_systems_bio/ToolingSystemsBiology/RawData/Demengeot/2023-01-24 plate_2.csv	2023-01-24_Demengeot_plate_2	2023-01-24 plate_2	2023-01-24	Demengeot	plate_2	1.537875	0.06689317176342759	1.6716613435268552
/datos/home/paulinapg/tooling_up_systems_bio/ToolingSystemsBiology/RawData/Demengeot/2023-01-24 plate_3.csv	2023-01-24_Demengeot_plate_3	2023-01-24 plate_3	2023-01-24	Demengeot	plate_3	1.9865	0.11008308550492996	2.20666617100986
