"Reference1","Reference2","Control099","Control100","Infected197","Infected198","Infected199","Infected200","dilution"
12.522,12.336,4.717,4.995,9.359,12.173,12.575,11.459,0.093186694158442
11.27,11.774,3.552,3.717,6.876,11.867,11.709,11.532,0.0232966735396105
11.199,11.913,2.999,3.05,4.835,11.262,11.116,11.54,0.00582416838490262
11.373,10.711,2.705,2.836,3.532,10.949,10.387,11.179,0.00145604209622566
9.095,8.691,2.708,2.741,2.858,9.484,8.629,9.874,0.000364010524056414
6.836,7.18,2.442,2.618,2.897,7.473,6.381,7.332,9.10026310141035e-05
4.723,4.774,2.572,2.602,2.663,5.427,5.016,4.76,2.27506577535259e-05
3.839,3.743,2.587,2.524,2.555,4.09,3.62,3.543,5.68766443838147e-06
3.236,3.129,2.482,2.433,2.555,3.406,2.759,2.97,1.42191610959537e-06
2.859,2.624,2.707,2.495,2.708,2.528,2.584,2.788,3.55479027398842e-07
2.612,2.532,2.539,2.571,2.616,2.616,2.748,2.674,8.88697568497105e-08
2.59,2.462,2.43,2.734,2.664,2.565,2.475,2.314,2.22174392124276e-08
