"Reference1","Reference2","Control127","Control128","Infected253","Infected254","Infected255","Infected256","dilution"
15.162,15.239,6.508,5.57,14.761,6.841,13.454,5.895,0.141270158634562
15.162,15.26,4.008,3.799,14.529,4.869,13.034,3.813,0.0353175396586405
14.444,14.293,2.981,2.979,14.513,3.457,10.888,2.927,0.00882938491466013
13.963,13.575,2.454,2.488,12.764,2.555,7.898,2.74,0.00220734622866503
13.258,12.183,2.36,2.328,10.494,2.57,4.717,2.433,0.000551836557166258
9.902,8.868,2.32,2.354,9.009,2.245,3.767,2.178,0.000137959139291565
6.502,5.911,2.412,2.152,5.747,2.399,2.917,2.275,3.44897848228911e-05
4.573,4.029,2.303,2.555,4.382,2.071,2.602,2.356,8.62244620572278e-06
3.277,3.199,2.167,2.302,3.049,2.298,2.145,2.522,2.1556115514307e-06
2.61,2.516,2.372,2.201,2.619,2.236,2.306,2.373,5.38902887857674e-07
2.628,2.37,2.367,2.241,2.455,2.504,2.299,2.316,1.34725721964419e-07
2.196,2.069,2.337,2.378,2.326,2.223,2.383,2.319,3.36814304911046e-08
