"Reference1","Reference2","Control069","Control070","Infected137","Infected138","Infected139","Infected140","dilution"
13.607,12.787,5.247,5.321,12.3,5.112,12.87,7.178,0.0961605240947274
13.354,13.324,3.665,3.678,10.14,3.68,14.302,4.815,0.0240401310236819
12.834,13.097,3.169,3.087,7.566,3.056,13.806,3.826,0.00601003275592046
11.477,12.024,3.043,2.941,4.475,2.932,12.629,3.111,0.00150250818898012
10.4,10.632,2.893,2.821,3.301,2.789,10.316,2.718,0.000375627047245029
7.476,8.036,2.748,2.844,2.965,2.798,7.702,2.638,9.39067618112572e-05
5.116,5.239,2.723,2.721,2.704,2.598,5.13,2.516,2.34766904528143e-05
4.122,4.074,2.503,2.588,2.803,2.666,3.932,2.595,5.86917261320358e-06
2.862,3.277,2.595,2.534,2.564,2.576,2.937,2.373,1.46729315330089e-06
3.015,2.515,2.511,2.575,2.837,2.916,2.871,2.662,3.66823288325224e-07
2.653,2.7,2.744,2.581,2.765,2.632,2.776,2.791,9.17058220813059e-08
2.587,2.962,2.438,2.25,2.788,2.641,2.542,2.805,2.29264555203265e-08
