"Reference1","Reference2","Control053","Control054","Infected105","Infected106","Infected107","Infected108","dilution"
13.212,12.804,5.47,5.302,13.313,5.045,9.483,9.364,0.0860225758675271
12.332,13.399,4.011,3.851,12.591,3.968,7.149,6.84,0.0215056439668818
11.992,13.203,3.025,3.353,12.876,3.139,5.005,4.443,0.00537641099172044
11.381,11.894,3.079,3.002,11.97,3.311,4.084,3.719,0.00134410274793011
9.701,11.246,2.999,2.955,9.357,3.006,3.235,3.164,0.000336025686982528
7.392,7.842,2.801,2.969,7.133,2.835,3.033,3.124,8.40064217456319e-05
5.09,5.388,2.804,2.975,4.692,2.99,3.01,2.736,2.1001605436408e-05
3.779,3.812,2.934,2.832,3.997,2.999,3.014,2.924,5.250401359102e-06
3.688,3.384,2.945,2.883,3.331,3.081,2.958,2.783,1.3126003397755e-06
3.045,2.826,2.957,2.819,2.857,2.885,2.852,3.066,3.28150084943875e-07
2.946,3.204,2.691,3.038,3.078,3.122,2.739,2.915,8.20375212359687e-08
3.01,3.156,2.727,2.896,3.11,2.878,2.79,2.992,2.05093803089922e-08
