"Reference1","Reference2","Control299","Control300","Infected597","Infected598","Infected599","Infected600","dilution"
10.287,9.276,4.599,4.61,8.638,7.112,9.309,8.599,0.129081966876297
10.085,9.761,3.442,3.926,6.627,5.553,9.085,7.527,0.0322704917190742
9.579,9.641,3.435,3.208,4.818,4.064,6.995,5.54,0.00806762292976855
9.242,9.157,3.173,3.002,4.159,3.817,6.553,4.594,0.00201690573244214
8.506,7.987,3.04,2.979,3.234,3.265,4.757,3.46,0.000504226433110534
6.924,7.215,3.002,3.086,2.967,2.915,4.068,3.319,0.000126056608277634
5.159,5.159,2.845,2.838,3.104,3.204,3.254,3.063,3.15141520694084e-05
4.195,4.101,2.976,2.725,2.705,2.885,3.135,3.077,7.8785380173521e-06
3.066,3.307,2.998,2.802,2.891,2.806,2.794,3.24,1.96963450433802e-06
2.962,2.961,2.806,2.955,2.537,2.743,2.888,2.854,4.92408626084506e-07
2.68,2.914,2.83,3.136,3.039,2.915,2.783,2.769,1.23102156521126e-07
2.975,3.056,2.97,2.922,2.933,2.65,2.87,2.63,3.07755391302816e-08
