"Reference1","Reference2","Control243","Control244","Infected485","Infected486","Infected487","Infected488","dilution"
13.191,12.685,5.768,6.071,13.036,12.227,12.457,12.807,0.124693448626877
13.205,12.645,3.948,4.173,13.581,13.12,12.708,11.282,0.0311733621567192
12.925,12.931,3.025,3.546,12.826,11.22,12.793,9.954,0.0077933405391798
11.673,12.15,3.175,2.907,11.955,10.555,10.899,8.183,0.00194833513479495
10.888,11.6,2.859,3.099,11.893,7.677,10.822,5.187,0.000487083783698737
8.105,9.277,2.827,2.926,9.541,6.335,7.665,4.644,0.000121770945924684
6.332,7.317,2.837,2.853,6.747,4.727,5.412,3.348,3.04427364811711e-05
4.511,4.443,2.845,2.822,5.04,3.378,3.901,3.207,7.61068412029277e-06
3.829,3.364,2.915,2.946,3.644,3.115,3.39,2.797,1.90267103007319e-06
3.03,3.079,2.696,3,2.979,2.938,2.957,2.814,4.75667757518298e-07
2.955,3.029,2.931,2.709,3.109,3.049,2.903,2.916,1.18916939379575e-07
2.795,2.847,2.932,2.875,2.941,2.824,2.869,2.708,2.97292348448936e-08
