"Reference1","Reference2","Control085","Control086","Infected169","Infected170","Infected171","Infected172","dilution"
7.707,7.491,3.889,3.932,6.436,3.676,7.445,7.513,0.109429991558383
7.544,7.987,2.669,2.776,5.222,2.946,8.079,7.701,0.0273574978895957
7.468,7.409,2.369,2.43,3.748,2.419,7.233,7.945,0.00683937447239892
7.144,7.048,2.317,2.218,2.704,2.178,6.593,7.25,0.00170984361809973
6.195,6.592,2.221,2.185,2.413,2.255,5.115,6.27,0.000427460904524932
4.625,5.112,2.201,1.996,2.327,2.048,3.877,4.847,0.000106865226131233
3.752,3.962,2.176,2.09,2.075,2.156,2.695,3.344,2.67163065328083e-05
2.938,3.086,2.068,2.041,2.112,2.252,2.384,2.817,6.67907663320207e-06
2.455,2.614,2.181,2.083,2.169,2.082,2.304,2.487,1.66976915830052e-06
2.259,2.417,2.319,2.08,2.144,2.171,2.341,2.305,4.17442289575129e-07
2.174,2.146,2.099,2.088,2.126,2.083,1.973,2.241,1.04360572393782e-07
1.955,2.16,2.061,2.015,2.099,2.158,2.108,2.108,2.60901430984456e-08
