"Reference1","Reference2","Control007","Control008","Infected013","Infected014","Infected015","Infected016","dilution"
15.262,15.299,5.451,5.279,14.964,15.661,10.964,5.297,0.0780452985493775
15.081,15.109,3.491,3.743,14.486,14.966,7.668,3.432,0.0195113246373444
14.334,13.995,2.698,2.744,14.155,12.978,5.352,3.014,0.00487783115933609
13.587,12.796,2.826,2.601,12.124,12.388,3.974,2.777,0.00121945778983402
10.478,11.605,2.641,2.699,11.221,10.079,3.146,2.518,0.000304864447458506
8.048,8.734,2.576,2.524,7.829,7.423,2.818,2.414,7.62161118646265e-05
5.689,5.731,2.339,2.35,5.481,5.014,2.577,2.273,1.90540279661566e-05
3.542,3.812,2.49,2.515,4.252,3.5,2.613,2.433,4.76350699153915e-06
2.949,3.264,2.444,2.535,2.967,2.93,2.281,2.304,1.19087674788479e-06
2.703,2.89,2.38,2.488,2.671,2.711,2.524,2.615,2.97719186971197e-07
2.862,2.727,2.571,2.476,2.345,2.352,2.381,2.365,7.44297967427993e-08
2.417,2.499,2.295,2.537,2.556,2.724,2.569,2.303,1.86074491856998e-08
