"Reference1","Reference2","Control231","Control232","Infected461","Infected462","Infected463","Infected464","dilution"
10.535,11.309,4.635,5.192,10.609,10.608,11.403,10.023,0.106692801537037
11.161,11.923,3.936,3.891,10.052,10.551,10.829,10.472,0.0266732003842593
10.605,10.821,3.146,3.003,8.248,10.847,11.239,10.488,0.00666830009606484
9.612,10.19,2.958,2.968,6.337,9.928,9.825,8.839,0.00166707502401621
9.484,8.957,3.101,2.908,4.642,8.726,9.004,6.56,0.000416768756004052
6.815,6.878,2.678,2.748,3.32,6.639,7.842,4.975,0.000104192189001013
4.773,4.909,2.478,2.711,3.146,4.856,5.494,3.888,2.60480472502533e-05
4.054,4.043,2.952,2.826,3.009,3.413,3.956,3.249,6.51201181256332e-06
3.347,3.38,3.071,3.075,2.795,3.432,3.331,3.028,1.62800295314083e-06
2.989,2.97,2.719,3.004,2.633,2.948,2.806,2.775,4.07000738285207e-07
2.768,2.718,2.925,2.888,2.878,2.791,2.791,2.921,1.01750184571302e-07
2.693,2.761,2.7,3.021,2.726,2.811,2.857,2.882,2.54375461428255e-08
