"Reference1","Reference2","Control171","Control172","Infected341","Infected342","Infected343","Infected344","dilution"
20.075,20.541,7.592,8.713,20.247,19.797,21.184,16.407,0.141763905809879
20.801,21.266,4.992,5.572,17.569,20.961,20.772,13.71,0.0354409764524697
20.459,20.116,3.886,3.704,14.424,19.046,19.371,8.619,0.00886024411311743
19.093,17.275,2.913,2.969,10.068,19.022,18.795,5.463,0.00221506102827936
16.131,17.151,2.82,3.205,6.081,15.948,17.428,3.953,0.000553765257069839
13.494,13.336,2.731,2.691,4.675,13.316,12.55,3.186,0.00013844131426746
6.871,8.243,2.562,2.583,3.185,8.28,9.615,2.945,3.4610328566865e-05
5.313,5.319,2.609,2.869,2.897,5.62,5.601,2.79,8.65258214171624e-06
3.781,3.502,2.741,2.509,2.501,3.994,4.092,2.738,2.16314553542906e-06
2.982,3.058,2.806,2.881,2.992,3.201,3.449,2.589,5.40786383857265e-07
2.751,2.927,2.857,2.858,2.601,2.929,2.649,2.531,1.35196595964316e-07
2.832,2.741,2.89,2.676,2.704,2.538,2.801,2.6,3.37991489910791e-08
